,Category,Skills,Degree,Institution
10,HR,"[' Accounting', ' ADP', ' analytical kill', ' AP', ' AR', ' Benefit', ' billing', ' Call center', ' Great communication kill', ' Interperonal kill', ' credit', ' client', ' Cutomer Service', ' cutomer ervice kill', ' databae', ' Detail-oriented', ' Employee Relation', ' expene report', ' Filling', ' Filing', ' hiring', ' Human Reource Management', ' Human Reource', ' Human reource 1', ' proceing of invoice', ' leaderhip', ' ledger', ' logitic', ' mentor', ' MS Office Suite', ' Office Management', ' Oracle', ' Organizational Development', ' payroll proceing', ' Peachtree', ' peronnel', ' promotion', ' QuickBook', ' Recruitment', ' Scheduling', ' Spreadheet', ' preadheet', ' telephone', ' phone', ' webite']","[' Aociate of Science', ' Adminitration leaderhip Communication in your profeion Accounting Employment Law Human reource 1 and Organizational Development Member of Society for Human Reource Management SHRM PHR certificate after graduation Volunteer Work to mentor kid and young adult to ucceed in their chool or career path Score eminar on Human Reource -""How to Hire Smart"" ']","[' RASMUSSEN COLLEGE', ' Ramuen College']"
11,HR,"[' Adminitrative', ' adminitrative upport', ' advertiing', ' a et', ' benefit', ' buine plan', ' clarify', ' Good communication kill', ' Interperonal Skill', ' continuou improvement', ' deciion making', ' Englih', ' Film', ' hiring', ' Human Reource', ' HR', ' law', ' legal compliance', ' Managerial', ' Managing', ' Exchange', ' organizational', ' payroll', ' performance appraial', ' performance management', ' peronnel', ' policie', ' procee', ' procurement', ' progre', ' promotion', ' peaking', ' purchae requiition', ' Purchaing', ' Recruitment', ' recruiting', ' reporting', ' cheduling', ' trategic', ' trategic plan', ' Type', ' workflow']","[' Mater of Public Adminitration', ' Comprehenive Englih Coure under Cultural Exchange Program', ' Bachelor of Education']","[' National Intitute of Development Adminitration NIDA', 'NA', ' Chulalongkorn Univerity']"
12,HR,"[' Management', ' Adminitrative Support', '\xa0Coach', '\xa0Excellent communication kill', ' Cutomer ervice', '\xa0French', '\xa0Human reource', ' Leaderhip', '\xa0Team Lead', '\xa0Mentor', '\xa0Effective communicator', ' Project Management', ' Project Lead', '\xa0Reearching', '\xa0Spanih', ' Superviion']","[' BAS', ' Aociate of Art', ' Aociate of Art']","[' St Peterburg College', ' St Peterburg College', ' Arthur Community College']"
13,HR,"['  ACA', ' ADP Payroll', ' AS400', ' benefit', ' benefit adminitration', ' conultation', '  ERP', ' hiring', ' HRIS', '  Internet Explorer', ' Krono', ' labor relation', ' Excel', ' Outlook', ' PowerPoint', ' Word', ' organization development', ' payroll', ' PeopleSoft', ' peronnel policie', ' recruitment', ' SOX', ' employee handbook ']","[' MBA', ' Bachelor Degree']","[' Walh College', ' Walh College']"
14,HR,"[' adminitrative', ' ad', ' arbitration', ' agency', ' budget', ' Conultant', ' databae', ' Employee Relation', ' hiring', ' HRIS', ' Human Reource', ' human reource', ' HR', ' team building', ' Leaderhip', ' material', ' meeting', ' newletter', ' organizational', ' performance management', ' peronnel', ' preentation', ' procee', ' recruiting', ' recruitment', ' reporting', ' taffing', ' teacher']","[' Univerity of Phoenix', ' Old Dominion Univerity', ' VCU School of Buine', ' Grace E Harri Leaderhip Intitute VCU School of Buine']","[' MBA', ' BS', ' SHRM Cla Certificate', 'NA']"
15,HR,['  Account Payable  Account Receivable  Cutomer Service   Microoft Suite  SAP  Solomon    Knowledge of Quickbook     '],[' BSBA'],[' CTU Online']
16,HR,"['  Sytem Excel', ' Outlook', ' Power Point', ' Viio', ' One Note', ' Share Point', ' SAP', ' Advie HR', ' Siebel', ' TALX', ' Autonomy', ' Survey Monkey', ' Taleo   Training Proci Change Management Certification 2015', ' Herrmann Brain Dominance Intrument 2014', ' Interview Skill Selection and Development 2014    ']",[' Univerity of Phoenix'],[' Bachelor']
17,HR,"['  Accounting', ' Advertiing', ' Analytical Skill', ' agency', ' Baic', ' benefit', ' benefit adminitration', ' budget', ' Buine Communication', ' Buine Law', ' Buine Management', ' Child Care', ' clarify', ' clerical', ' Cold Calling', ' Communication Skill', ' Interperonal Skill', ' conference', ' Make copie', ' CPR', ' databae', ' drafting', ' editing', ' Employee Relation', ' faxe document', ' Finance', ' Financial Accounting', ' Firt Aid', ' form', ' Government', ' Hiring', ' HRIS', ' Human Reource Management', ' Human Reource', ' HR', ' Human Reource Management', ' image', ' Information Sytem', ' International Buine', ' Job Analyi', ' Krono', ' Labor Relation', ' Leaderhip', ' leaderhip development', ' Law', ' legal', ' Managerial', ' Managing', ' Managerial Accounting', ' Marketing', ' meeting', ' acce', ' Excel', ' mail', ' Microoft Office', ' Outlook', ' PowerPoint', ' Publiher', ' Word', ' Work', ' Negotiation', ' Networking', ' Notary Public', ' Organization Development', ' Organizational Skill', ' Organizational', ' payroll', ' PeopleSoft', ' Performance Management', ' peronnel', ' Policie', ' Develop policie', ' Pricing', ' problem olving', ' Procedure Writing', ' procee', ' Procurement', ' Production Management', ' QuickBook', ' file maintenance', ' Recruiting', ' Recruitment', ' reearching', ' ound', ' taff development', ' Staff Superviion', ' Staffing', ' Statitic', ' Strategy', ' training program', ' workhop', ' written ']","[' Webter Univerity', ' Benedict College']","[' Financial Accounting  Managerial Accounting  Buine Statitic  Buine Law  Buine ApplicationSoftware  Finance  Buine Communication  Buine Management  Marketing  MarketingManagement  Quantitative Method  Human Reource Management  Contemporary Iue In Management  Organizational Theory  Buine Policy  International Buine  Production Management  Microeconomic  Macroeconomic  Labor Relation  Accounting Information Sytem  Entrepreneurhip', ' BS']"
18,HR,"[' ADP', ' benefit', ' cloing', ' Coach', ' coaching', ' competitive', ' cutomer ervice', ' databae', ' hiring', ' HRIS', ' HR', ' inurance', ' logitic', ' Director', ' mentoring', ' window', ' performance management', ' peronnel', ' Policie', ' procee', ' protocol', ' quality', ' recruiting', ' recruitment', ' ale', ' taffing', ' workflow']","[' Mater of Adminitrative Science', ' BS']","[' Fairleigh Dickinon Univerity', ' AA']"
19,HR,"['   Team Spot Award for being the bet team in driving Performance Management Team Lead Award for "" Mentor Me Program"" HUMAN RESOURCE GENERALIST CORE FUNCTIONAL STRENGTHS PROFESSIONAL EXPERIENCE ACADEMIC CREDENTIALS COMPUTERS CORE COMPETENCIES AND AWARDS   ']","[' MBA', ' Bachelor of Commerce', ' Mater of Buine Adminitration']","[' KIMSUniverity Karnataka Univerity', ' BNDCUniverity Karnataka Univerity', 'NA']"
20,HR,"[' buine development', ' central point of contact', ' cloing', ' client', ' client', ' email', ' employee relation', ' fahion', ' fat', ' faxe', ' meeting', ' acce', ' mail', ' office', ' PowerPoint preentation', ' neat', ' payroll', ' peronnel', ' quality', ' receptionit', ' reception', ' ale', ' preadheet', ' preadheet', ' telephone', ' employee handbook']","[' BACHELOR OF ARTS', ' North Carolina Agricultural  Technical State Univerity']","[' PSYCHOLOGY', 'NA']"
21,HR,"['  Recruiting  Onboarding  Project Management  Event Planning  Employee Relation  TeamworkCollaboration  Training and Development  Public Speaking  Social Media Marketing  ADP  Workday  Microoft Office Suite', '  ADP', ' benefit', ' branding', ' budget', ' oral communication', ' competitive', ' email', ' Employee Relation', ' Event Planning', ' focu', ' hiring', ' HRIS', ' HR', ' leaderhip', ' Marketing', ' MS Excel', ' Microoft Office Suite', ' product manager', ' Project Management', ' Public Speaking', ' Recruiting', ' recruitment', ' reearching', ' trategy', ' Teamwork', ' workhop', ' written ']",[' Bachelor of Science'],[' North Carolina State Univerity']
22,HR,"[' Agency marketing and branding', ' Human Reource Management', ' Human Reource', ' critical and analytical thinking', ' Leaderhip Development', '\xa0Lead HR\xa0Special Project', ' reearch and development', ' event organizer', ' journalim']","[' Bachelor of Art BA', ' Mater of Buine Adminitration']","["" St Augutine' Univerity"", ' St Leo Univerity']"
23,HR,"[' benchmarking', ' benefit', ' conflict reolution', ' direction', ' Employee Relation', '\xa0 ', ' performance management', ' peronnel', ' policie', ' procee', ' recruitment', ' reearch', ' Safety', ' taffing', ' trategic', '\xa0 training program', '']","[' Keller Graduate School of Management', ' Univerity of North Dakota']","[' MBA', ' BA']"
24,HR,"[' ADA', ' ADP', ' benefit', ' clarify', ' employee relation', ' human reource', ' Human Reource', ' HR', ' inurance', ' law enforcement', ' mediation', ' MS Office', ' office', ' SharePoint', ' Organizational', ' performance management', ' peronnel', ' policie', ' promotion', ' recruiting', ' recruitment', ' employee handbook', ' vendor management']","[' BBA', ' Aociate of Science']","[' Sam Houton State Univerity', ' North Harri Community College']"
25,HR,"['  Microoft Sharepoint', ' SAP', ' Sharepoint', ' Excel', ' Groupwie', ' Incoming Call', ' M Office', ' M Outlook', ' Outlook', ' Phone Sytem', ' Receptionit', ' Recruiter', ' Sterling Inforytem', ' Orange Tree Employment Service', ' Kenexa - IBM Product', ' Ultipro', ' New Hire', ' Sarbane-Oxley SOX', ' Scheduling', ' Acce', ' Applicant Tracking Sytem', ' Bet Practice', ' Databae', ' Databae', ' Employee Performance', ' Entry Level', ' Filing', ' Lead', ' Performance Review ']",[' DePaul Univerity'],[' BA']
26,HR,"[' ADP payroll', ' Attorney', ' benefit', ' billing', ' billing', ' Ceridian', ' chart', ' coaching', ' competitive', ' contract negotiation', ' couneling', ' employee relation', ' feature', ' form', ' HRIS', ' HR', ' inurance', ' law', ' management reporting', ' office', ' organizational', ' Payroll', ' performance review', ' peronnel', ' policie', ' power upply', ' propoal', ' recruiting', ' recruitment', ' reearch', ' Safety', ' taffing', ' viion']","[' Mater of Science Degree', ' Bachelor of Art Degree']","['NA', 'NA']"
27,HR,"[' ADA', ' Adminitrative Aitant', ' benefit', ' Ceridian', ' chart', ' coaching', ' conulting', ' couneling', ' CPR certified', ' excellent cutomer ervice', ' employee relation', ' pecial event', ' financial', ' Firt Aid', ' food afety', ' hiring', ' human reource', ' HR', ' inurance', ' Krono', ' Law', ' long-term care', ' mechanic', ' meeting', ' Payroll', ' performance review', ' peronnel', ' policie', ' quality aurance', ' recruitment', ' repair', ' Safety', ' cheduling', ' taffing', ' upervior', ' uperviory', ' training program']","[' Mater of Art', ' Bachelor of Art', ' OSHA 10-hr General Indutry Safety and Health          Iued  226', ' Payroll Law Seminar']","[' Ahford Univerity', ' Wiconin Lutheran College', ' Firt Aid  CPR certified          Iued 982015 expire 92017HR Law Seminar', 'NA']"
28,HR,"[' adminitrative', ' budget', ' contract', ' cutomer ervice', ' documentation', ' expene report', ' financial', ' government', ' hiring', ' HR', ' Office', ' office adminitration', ' office management', ' payroll', ' peronnel', ' procee', ' propoal', ' quality', ' quality aurance', ' Rocoe', ' ale', ' uperviing', ' tranmiion']",[' Univerity of New Mexico'],[' BA']
29,HR,"['    San Diego Humane Society  - San Diego', ' CA June 2016 - Preent   Humane Animal Society  - India \xa0Aug 2014 - Nov 2015   PuppyPalace  - India Aug 2014 - Nov 2015   \u200b ']","[' Mater of Art', ' Mater of Science', ' Bachelor of Art']","[' Alliant International Univerity ', ' Avinahilingam Intitute for Home Science and Higher Education for Women ', ' Amrita Viwa Vidhyapeetham']"
30,HR,"[' academic', ' AI', ' attention to detail', ' back-up', ' benefit', ' benefit adminitration', ' budget', ' cah receipt', ' Coaching', ' contract', ' critical thinking', ' cutomer atifaction', ' cutomer ervice', ' excellent cutomer ervice', ' cutomer ervice', ' Employee Relation', ' Event management', ' hiring', ' HR', ' inventory', ' layout', ' leaderhip', ' meeting', ' Excel', ' organizational kill', ' organizational', ' payroll', ' peronnel', ' policie', ' problem-olving', ' reconciling', ' recruiting', ' reearch', ' retail', ' ale', ' Staffing', ' tore manager', ' employee handbook']","[' BACHELOR OF ARTS', ' ASSOCIATE OF ARTS']","[' Lourde College', ' Lourde College']"
31,HR,"[' ABC', ' ADP', ' ADR', ' benefit', ' Benefit Adminitration', ' budget', ' coaching', ' US Army databae', ' driving', ' Employee Relation', ' training employee', ' pecial event', ' enior management', ' hiring', ' home healthcare', ' HRIS', ' Human Reource', ' HR', ' inurance', ' legal', ' managing', ' meeting', ' Acce', ' Excel', ' MS Office', ' office', ' Outlook', ' PowerPoint', ' Word', ' Enterprie', ' Organizational Development', ' PeopleSoft', ' Performance Management', ' peronnel', ' policie', ' procee', ' Project Management', ' Recruitment', ' recruiting', ' ale', ' ound', ' Structured', ' upervior', ' teamwork', ' Video', ' voice and data', ' workhop']",[' Aociate of Applied Science'],[' Ecotect Intitute']
32,HR,"[""   AWARDS and PROFESSIONAL AFFILIATIONS Bet Reult Commitment Survey Award BWR HR Team - 2006 thru 2011 Director' Award - 2008"", ' 2009', ' and  2010 US Human Reource Buine Partner Award- 2007  Extra Mile Award - 2007 Bet In Cla - 2006  People Pillar Award - 2006  Gold Hat Award - 2005 Member of Society of Human Reource Management ince 2001 Certified Career Development Facilitator Freelance writer for ""Grace"" Magazine', ' a Chritian magazine that encourage and empower women of all age   ']","[' BS', ' Shady Grove - HR CertificatePHR Certification']","[' Univerity of Phoenix', ' Univerity of Maryland']"
33,HR,"['   ADDITIONAL SKILLS         Volunteer of the Year award', ' Autin', ' TX 2012         PHR State Certified ', 'United State  ']","[' Bachelor', ' High School Diploma']","[' Dalla Baptit Univerity', ' Leland High School']"
34,HR,"[' cah receipt', ' cah handling', ' cah regiter', ' client', ' cutomer ervice', ' Data entry', ' direction', ' Employee relation', ' faxe', ' fax machine', ' hiring', ' inventory', ' mailing', ' Acce', ' Excel', ' mail', ' Office', ' PowerPoint', ' Microoft Word', ' payroll', ' Proce payroll', ' copier', ' printer', ' Read', ' Receptionit', ' recruiting', ' Routing', ' ale', ' cheduling', ' taffing', ' take meage', ' anwer phone', ' phone', ' type', ' 50 wpm']",[' AS'],[' Albany State Technical College']
35,HR,"['  benefit', ' budget analyi', ' budget', ' budget', ' coaching', ' contract negotiation', ' documentation', ' training employee', ' event planning', ' pecial event', ' executive management', ' enior management', ' firing', ' form', ' functional', ' General Manager', ' graphic', ' hiring', ' human reource management', ' Human Reource', ' human reource', ' HR', ' inurance', ' regulatory compliance', ' letter', ' logitic', ' Director', ' managing', ' marketing', ' meeting', ' payroll', ' People Soft', ' peronnel', ' policie', ' preentation', ' pre releae', ' PR', ' procee', ' promotion', ' recruiting', ' recruitment', ' reporting', ' ale', ' cheduling', ' ound', ' taffing', ' trategic', ' travel arrangement', ' workhop ']","['NA', ' Bachelor of Art BA']","[' Notary Public', ' UNIVERSITY OF PHEONIX']"
36,HR,"['  Aociate Relation', ' Audit', ' Aet Protection', ' Coaching', ' EEOC Repone', ' Succeion Planning', ' Termination', ' Cutomer Service', ' Retail Sale', ' Cah Control', ' Bookkeeping', ' Time Management', ' Budget', ' Lotu Note', ' Bakery', ' Merchandiing', ' Ordering', ' Sale', ' Sanitation', ' Scheduling', ' Budget Preparation', ' Conflict Management', ' Employment Law', ' Expene Control', ' Internal Invetigation', ' On-line Learning', ' Problem Solving', ' Project Management', ' Quick Book', ' Recruiting', ' Retail Marketing', ' Self Motivated', ' Strategic Planning', ' Team Building', ' Training ']",[' Bachelor Of Science'],[' Pennylvania State Univerity']
37,HR,"[""  Well Fargo - Latino Team Member Network -  HR Liaionmember   San Antonio Human Reource Management Aociation   South Texa Children' Bereavement Center Group Facilitator   CYO Sport Team Mom ""]","[' Mater of Art', ' Bachelor of Science']","[' Webter Univerity', ' Univerity of Houton']"
38,HR,"['  Office upport   Accounting', '  billing', ' bookkeeping', ' cutomer ervice', ' employee relation', ' filing', ' hiring', ' HR', ' Inventory', ' invoicing', ' Marketing', ' meeting', ' Excel', ' Outlook', ' Window', ' Word', ' Payroll', ' PR', ' propoal', ' Purchaing', ' Real Etate', ' Sale Management', ' preadheet', ' upervior', ' training program', ' Tranlation', ' written communication    ']",[' BA'],[' Univerity of Grenoble']
39,HR,"[' proceing account payable', ' Adminitrative', ' adminitrative upport', ' Ad', ' audit reporting', ' reconciling bank tatement', ' benefit', ' bond', ' bookkeeping', ' brochure', ' hardware', ' converion', ' client', ' databae', ' Databae management', ' delivery', ' deigning', ' Documentation', ' e-mail', ' Event Planning', ' fahion', ' faxing', ' filing', ' form', ' General Ledger', ' government', ' Hiring', ' HRIS', ' Human Reource', ' HR', ' imaging', ' information technology', ' Inurance', ' Law', ' letter', ' Director', ' mailing', ' marketing and ale', ' Meeting', ' money', ' office', ' MIS', ' monitor', ' next', ' Payroll', ' Performance Appraial', ' Peronnel', ' policie', ' radio', ' recording', ' reporting', ' Safety', ' cheduling', ' oftware intallation', ' preadheet', ' taffing', ' phone', ' video', ' viion', ' webite', ' year-end']","['NA', ' Certificate']","[' Indiana Univerity', ' Indiana Univerity']"
40,HR,"['  Computer kill  •SPSS Software  •MS Office – Word', ' Excel', ' Power Point', ' Internet  E-mail operation   Key Skill and Management  •Profeional management kill  •Meeting objective  •Identifying problem  •Well-developed and effective communication kill  •Thrive in deadline-driven Environment  •Excellent Team-Building Skill  ']",[' Doon Univerity'],[' MBA']
41,HR,"[' C', ' C', ' Englih', ' Hindi', ' Java', ' Language', ' Microoft Office', ' SQL', ' Viual Baic 60']","[' MBA', ' High School', ' BE']","[' Crecent Buine School', ' Lady Sivawami girl Higher Secondary School', ' Lord Venkatehwaraa Engineering College']"
42,HR,"[' adminitrative', ' treamline', ' ADP', ' agency', ' auditing', ' benefit', ' budget', ' conference', ' client', ' cutomer ervice', ' data entry', ' databae', ' email', ' employee relation', ' pecial event', ' fax', ' filing', ' form', ' HRIS', ' inventory', ' krono', ' labor relation', ' legal', ' meeting', ' acce', ' microoft office uite', ' internet reearch', ' oracle', ' organizational', ' payroll proceing', ' performance management', ' peronnel', ' policie', ' procee', ' quick', ' receptionit', ' record keeping', ' recording', ' recruiting', ' reporting', ' reearch', ' afety', ' SAP', ' taffing', ' trategic', ' phone', ' employee development']","[' Mater of Buine Adminitration', ' BS', ' Currently tudying for the CHRP Exam']","[' Univerity of Phoenix', ' Virginia State Univerity', 'NA']"
43,HR,"['  Adminitrative Support', ' Anti-Viru', ' billing', ' budget', ' oral communication', ' conference', ' client', ' cutomer atifaction', ' databae', ' documentation', ' Finance', ' Help Dek', ' Inide Sale', ' marketing', ' meeting', ' Acce databae', ' Excel preadheet', ' PowerPoint', ' Microoft Word', ' Office Manager', ' Organizing', ' pricing', ' printer', ' problem olving', ' procee', ' coding', ' purchaing', ' Quality', ' recording', ' recruitment', ' ale', ' cheduling', ' preadheet', ' Survey', ' travel arrangement', ' troublehooting', ' webite', ' written communication ']","[' BS', ' AS', ' AAS']","[' Univerity of Eau Claire', ' Madion Technical College', ' Madion Technical College']"
44,HR,"[' Cutomer Service', ' Receptionit', ' Retail Sale', ' Advertiing', ' Budget', ' Corrective Action', ' Cot Reduction', ' Forecating', ' Maintenance', ' Office Manager', ' Paying', ' Scheduling', ' Surveying', ' Accounting', ' Adminitrativefinancial', ' Buyingprocurement', ' Financialaccounting', ' Inventory', ' Inventory Control', ' Purchaing', ' Affirmative Action', ' Bi', ' Buine Intelligence', ' Claim', ' Client', ' Coaching', ' Compenation', ' Contract', ' Diciplinary Procedure', ' Employee Engagement', ' Fmla', ' Hr', ' Interviewing', ' Managerial', ' New Hire Paperwork', ' Payroll', ' Pto', ' Recruiting', ' Staffing', ' Talent Selection', ' Tally', ' Termination', ' Training', ' Worker Compenation', ' Bet Practice', ' Excel', ' Excellent Multitaker', ' Krono', ' M Word', ' Outlook', ' Performance Management', ' Powerpoint', ' Simultaneouly', ' Word', ' Food Service', ' Human Reource', ' Buine Management']","[' Aociate', 'NA']","[' Robert Morri College', 'NA']"
45,HR,"['  Carl Henry MODERN Sale Training', ' Client-focued', ' Effective communication kill', ' Event management', ' Leaderhip', ' Microoft Office proficient', ' Self -tarter', ' Troublehooting', ' Problem olving', ' Organized', ' Detail oriented', ' Senitive to cutomer need', ' Ultimate Software Payroll and HRIS expertie', '  Krono Time and Attendance expertie', ' Paychex proficient', '  NETtime proficient    ']",[' Bachelor of Art'],[' Northern Illinoi Univerity']
46,HR,"[' accounting', ' ADA', ' advertiing', ' benefit', ' Benefit  Adminitration', ' bookkeeping', ' budgeting', ' Buine Law', ' buine reearch', ' buine tartup', ' competitive', ' credit', ' client', ' delivery', ' Economic', ' Employee Relation', ' training employee', ' pecial event', ' enior management', ' filling', ' Finance', ' Financial', ' general manager', ' hiring', ' HRIS', ' Human Reource', ' HR', ' inventory', ' Italian', ' leaderhip', ' Law', ' Letter', ' Managerial', ' Managerial Accounting', ' market', ' Marketing', ' marketing material', ' material', ' Excel', ' MS Office', ' Outlook', ' PowerPoint', ' Word', ' Operation Management', ' Organizational', ' packaging', ' Payroll', ' Policie', ' POS', ' pricing', ' profit', ' promotion', ' protocol', ' purchaing', ' quality', ' radio', ' Recruitment', ' afety', ' ale', ' Sigma', ' phone', ' unique']","[' Mater of Buine Adminitration', ' Managerial Finance Financial and Managerial Accounting Economic Managerial Marketing  Organizational Behavior Buine Law Operation Management Strategie for HR Management  Project Reviewed and analyzed more than 30 year of buine reearch to compare the two primary  approache for filling open poition hiring externally or promoting from within', ' ASHFORD UNIVERSITY']","[' ASHFORD UNIVERSITY', ' Bachelor of Art', ' Sigma Six Yellow Belt Certification 2018   PHR Certification Profeional Human Reource Tentative']"
47,HR,"[' Advanced Excel', ' Acce', ' Word', ' Viio', ' Power Point', ' VBA', ' SAP HCM', ' Succe Factor Compenation', ' Microoft Project Management', ' Service Now ASKHR', ' Smartheet', ' Panaya', ' SilkRoad - Red Carpet']",[' BBA'],[' Campbell Univerity']
